date,beta
2020-02-10,5.000081158285145
2020-02-11,3.6598548154293074
2020-02-12,2.972387079032592
2020-02-13,2.5092249365529096
2020-02-14,2.230388590459009
2020-02-15,1.3599803600043654
2020-02-16,1.0346349927161251
2020-02-17,0.8824968297822121
2020-02-18,0.8082567757927062
2020-02-19,0.7766745394153018
2020-02-20,0.7719415865469795
2020-02-21,0.7859790469234522
2020-02-22,0.8141924704863023
2020-02-23,0.8536747518067556
2020-02-24,0.9023596083679073
2020-02-25,0.9585824357635068
2020-02-26,1.0208321239240012
2020-02-27,1.0876106731121353
2020-02-28,1.1573817982349228
2020-02-29,1.2285216012586269
2020-03-01,1.2992952721963584
2020-03-02,1.3678355790179055
2020-03-03,1.4320961180748888
2020-03-04,1.4898205359217829
2020-03-05,1.538665216800527
2020-03-06,1.5764197339578159
2020-03-07,1.6012533072873811
2020-03-08,1.6119910775586033
2020-03-09,1.6082801098432546
2020-03-10,1.5906136776357127
2020-03-11,1.560193308453176
2020-03-12,1.5187325786291999
2020-03-13,1.4682311295743462
2020-03-14,1.4107685642047447
2020-03-15,1.3483540956519633
2020-03-16,1.2828682218482772
2020-03-17,1.2159965490153188
2020-03-18,1.149172910050455
2020-03-19,1.083582642113032
2020-03-20,1.0201733862138886
2020-03-21,0.9596559727588182
2020-03-22,0.9025345772868213
2020-03-23,0.8491569081825194
2020-03-24,0.7997308065811126
2020-03-25,0.7543478727990479
2020-03-26,0.7130164506381905
2020-03-27,0.6756720197614932
2020-03-28,0.6421908902030968
2020-03-29,0.6124004644412068
2020-03-30,0.5860918173479807
2020-03-31,0.5630316240316097
2020-04-01,0.5429674646082852
2020-04-02,0.5256343739415089
2020-04-03,0.5107629908004236
2020-04-04,0.49808825037723903
2020-04-05,0.4873524234507195
2020-04-06,0.47830838581301915
2020-04-07,0.4707253137680847
2020-04-08,0.4643933710749079
2020-04-09,0.45912461844191627
2020-04-10,0.45475293247968007
2020-04-11,0.4511336330945433
2020-04-12,0.44814100022360054
2020-04-13,0.44566740872070565
2020-04-14,0.4436204121670451
2020-04-15,0.4419201796796204
2020-04-16,0.44049795017051874
2020-04-17,0.4392964904563923
2020-04-18,0.438269721984991
2020-04-19,0.43738201027499296
2020-04-20,0.4366068095154885
2020-04-21,0.43592665459268404
2020-04-22,0.435332927157791
2020-04-23,0.4348236159130911
2020-04-24,0.43440272851040634
2020-04-25,0.4340793394375787
2020-04-26,0.43386624539678637
2020-04-27,0.4337775127683738
2020-04-28,0.43382685471509924
2020-04-29,0.434025887119464
2020-04-30,0.43438130416456217
2020-05-01,0.4348934252299064
2020-05-02,0.4355565478147319
2020-05-03,0.4363609440888231
2020-05-04,0.4372945476578829
2020-05-05,0.438344575651749
2020-05-06,0.4394987665485458
2020-05-07,0.44074613381102273
2020-05-08,0.4420766599634473
2020-05-09,0.4434798485311948
2020-05-10,0.444942710483519
2020-05-11,0.4464484826117725
2020-05-12,0.44797642526364106
2020-05-13,0.44950307333136064
2020-05-14,0.45100366590169594
2020-05-15,0.4524532684454284
2020-05-16,0.45382717272056
2020-05-17,0.4551011739787615
2020-05-18,0.4562526046715386
2020-05-19,0.45725965163491317
2020-05-20,0.4581014616781293
2020-05-21,0.45875928675602345
2020-05-22,0.45921780125368666
2020-05-23,0.4594659496820624
2020-05-24,0.4594972062945176
2020-05-25,0.4593104574437515
2020-05-26,0.45891207682514595
2020-05-27,0.4583162146707326
2020-05-28,0.45754479882755494
2020-05-29,0.4566266093841755
2020-05-30,0.45559830659552847
2020-05-31,0.45450318429086384
2020-06-01,0.4533902030489377
2020-06-02,0.4523120374148274
2020-06-03,0.45132568781514476
2020-06-04,0.45049248443690404
2020-06-05,0.4498772344523657
2020-06-06,0.44954703139139385
2020-06-07,0.449570739953877
2020-06-08,0.45001697127164914
2020-06-09,0.45095310348939155
2020-06-10,0.4524450981983273
2020-06-11,0.4545571304966084
2020-06-12,0.45735177054725634
2020-06-13,0.46089045445723903
2020-06-14,0.4652307673562926
2020-06-15,0.47042534213911474
2020-06-16,0.47651906340062533
2020-06-17,0.48354887254450746
2020-06-18,0.49154173703636433
2020-06-19,0.5004763401551898
2020-06-20,0.5102747066344461
2020-06-21,0.5207608247061112
2020-06-22,0.5316888806886045
2020-06-23,0.54273819972127
2020-06-24,0.5535264016087932
2020-06-25,0.5636835261079313
2020-06-26,0.5729080947624536
2020-06-27,0.5810384944993855
2020-06-28,0.5875243460227257
2020-06-29,0.5942463779869419
2020-06-30,0.6009620278384771
2020-07-01,0.6034355882471785
2020-07-02,0.606621569863816
2020-07-03,0.6088483129246524
2020-07-04,0.61449195924125
2020-07-05,0.6204458492303908
2020-07-06,0.6246610348205583
2020-07-07,0.6149106168282003
2020-07-08,0.6500421808571697
